Year,Festival,Title,Brand,Award,Country,Agency,Track,Category,Sub category,Board image,Video,Permalink
2025,Clio Entertaiment,Caption with Intention,Rakish Entertainment,Grand Prix,United States,FCB Chicago,Innovation,Innovation,,https://resized-media.entries.clios.com/companies/3038/media/c11daf4d-8296-488c-429b-08dda8286ac6-medium.jpg.webp,https://clios.com/winners-gallery/details/195157,/awards/clio_entertainment/2025/campaigns/caption-with-intention-rakish-entertainment-fcb-chicago-2025/
2025,Clio Entertaiment,SINNERS - Integrated Marketing Campaign,Warner Bros Pictures,Grand Prix,United States,Warner Bros Pictures,Integrated Campaign,Integrated Campaign,,https://resized-media.entries.clios.com/companies/143831/media/4f9e46e7-af10-4364-ad3f-08ddca1e8d72-medium.jpg.webp,https://clios.com/winners-gallery/details/201320,/awards/clio_entertainment/2025/campaigns/sinners-integrated-marketing-campaign-warner-bros-pictures-warner-bros-pictures-2025/
2025,Clio Entertaiment,TOGETHER - Eyes Poster,NEON,Grand Prix,United States,NEON,Key Art,Teaser Poster,,https://resized-media.entries.clios.com/companies/143796/media/70cb87f2-cd9e-47e2-9fb8-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/201707,/awards/clio_entertainment/2025/campaigns/together-eyes-poster-neon-neon-2025/
2025,Clio Entertaiment,Aspect Ratios with Sinners Director Ryan Coogler,Sinners,Grand Prix,United States,Rivendell Films,Original Content,Creative Content,,https://resized-media.entries.clios.com/companies/143764/media/358ac8fa-3b44-42f1-970f-08ddcf598d69-medium.png.webp,https://clios.com/winners-gallery/details/199883,/awards/clio_entertainment/2025/campaigns/aspect-ratios-with-sinners-director-ryan-coogler-sinners-rivendell-films-2025/
2025,Clio Entertaiment,WICKED Brand Partnerships,Universal Pictures,Grand Prix,United States,Universal Pictures,Partnerships & Collaborations,Partnerships & Collaborations,,https://resized-media.entries.clios.com/companies/143205/media/54a971c1-b3ff-4eb1-fa29-08ddda84979b-medium.jpeg.webp,https://clios.com/winners-gallery/details/193542,/awards/clio_entertainment/2025/campaigns/wicked-brand-partnerships-universal-pictures-universal-pictures-2025/
2025,Clio Entertaiment,Caption with Intention,Rakish Entertainment,Grand Prix,United States,FCB Chicago,Public Relations,Social Good,,https://resized-media.entries.clios.com/companies/3038/media/66f4fc01-a91d-4954-82ca-08dda8280727-medium.jpg.webp,https://clios.com/winners-gallery/details/194860,/awards/clio_entertainment/2025/campaigns/caption-with-intention-rakish-entertainment-fcb-chicago-2025-2/
2025,Clio Entertaiment,Sonic The Hedgehog 3 Arcade Standee,Paramount Pictures,Grand Prix,United States,Midnight Oil,Retail & Premium,Display,Standee,https://resized-media.entries.clios.com/companies/4734/media/d19531d6-4324-4fd6-451b-08ddbc3a4ea4-medium.png.webp,https://clios.com/winners-gallery/details/197988,/awards/clio_entertainment/2025/campaigns/sonic-the-hedgehog-3-arcade-standee-paramount-pictures-midnight-oil-2025/
2025,Clio Entertaiment,Body Swap,Netflix,Grand Prix,United States,AKQA,Speciality,Clio Entertainment x Snapchat AR Specialty Award,,https://resized-media.entries.clios.com/companies/141718/media/eeb695be-cf42-4436-80ac-08dda8280727-medium.png.webp,https://clios.com/winners-gallery/details/194353,/awards/clio_entertainment/2025/campaigns/body-swap-netflix-akqa-2025/
2025,Clio Entertaiment,Second Drop,Depop x Fortnite,Gold,United Kingdom,Miami Ad School Madrid,Games Student,Games Student,,https://resized-media.entries.clios.com/companies/143730/media/8125d9c1-add4-4d79-a189-08ddca1e8d72-medium.jpg.webp,https://clios.com/winners-gallery/details/199558,/awards/clio_entertainment/2025/campaigns/second-drop-depop-x-fortnite-miami-ad-school-madrid-2025/
2025,Clio Entertaiment,Without Pedro Pascal,Hispanic Organization of Latin Actors (HOLA) and Disney Plus Netflix Prime video and HBO,Gold,Colombia,Bendita Carpeta,Television & Streaming Student,Television & Streaming Student,,https://resized-media.entries.clios.com/companies/143833/media/5e56fbdb-2c19-48d3-ad8c-08ddca1e8d72-medium.jpg.webp,https://clios.com/winners-gallery/details/202168,/awards/clio_entertainment/2025/campaigns/without-pedro-pascal-hispanic-organization-of-latin-actors-hola-and-disney-plus-netflix-prime-video-and-hbo-bendita-carp/
2025,Clio Entertaiment,WWE Home,Netflix & ikea,Gold,Colombia,Bendita Carpeta,Television & Streaming Student,Television & Streaming Student,,https://resized-media.entries.clios.com/companies/143837/media/9c454a56-4b1f-4a12-9ef9-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/201622,/awards/clio_entertainment/2025/campaigns/wwe-home-netflix-and-ikea-bendita-carpeta-2025/
2025,Clio Entertaiment,Kindness is a Survival Skill,The Wild Robot,Gold,United States,Film2Future,Theatrical Student,Theatrical Student,,https://resized-media.entries.clios.com/companies/143793/media/2d8d0ca8-a464-4948-a504-08ddca1e8d72-medium.png.webp,https://clios.com/winners-gallery/details/200475,/awards/clio_entertainment/2025/campaigns/kindness-is-a-survival-skill-the-wild-robot-film2future-2025/
2025,Clio Entertaiment,Oreo Square Cookie,Mondeléz International,Gold,Germany,Saatchi & Saatchi Germany,Branded Entertainment & Content,Digital Mobile & Social Media,,https://resized-media.entries.clios.com/companies/364/media/f72b76d4-c464-4e54-ff93-08ddda84979b-medium.jpg.webp,https://clios.com/winners-gallery/details/203666,/awards/clio_entertainment/2025/campaigns/oreo-square-cookie-mondelez-international-saatchi-and-saatchi-germany-2025/
2025,Clio Entertaiment,LeBron - Dedicated to the Game,Dream Games,Gold,United States,Dream Games,Branded Entertainment & Content,Influencer & Talent Storytelling,,https://resized-media.entries.clios.com/companies/143250/media/a25a5734-b806-4d03-6091-08ddda7db5d2-medium.jpg.webp,https://clios.com/winners-gallery/details/196306,/awards/clio_entertainment/2025/campaigns/lebron-dedicated-to-the-game-dream-games-dream-games-2025/
2025,Clio Entertaiment,Project MEMORY CARD,PlayStation,Gold,Japan,SIX INC,Craft & Design,Audio Visual Craft,‌Other,https://resized-media.entries.clios.com/companies/250/media/120b1192-63ea-480e-9618-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/199547,/awards/clio_entertainment/2025/campaigns/project-memory-card-playstation-six-inc-2025/
2025,Clio Entertaiment,Verdansk Launch Trailer | Call of Duty Warzone,Call of Duty Warzone,Gold,United States,gnet,Craft & Design,Audio Visual Craft,Game Capture Cinematography,https://resized-media.entries.clios.com/companies/4769/media/730a43ee-0910-45fe-8451-08dda8280727-medium.png.webp,https://clios.com/winners-gallery/details/194791,/awards/clio_entertainment/2025/campaigns/verdansk-launch-trailer-call-of-duty-warzone-call-of-duty-warzone-gnet-2025/
2025,Clio Entertaiment,Verdansk Launch Trailer | Call of Duty Warzone,Call of Duty Warzone,Gold,United States,gnet,Craft & Design,Audio Visual Craft,Music,https://resized-media.entries.clios.com/companies/4769/media/730a43ee-0910-45fe-8451-08dda8280727-medium.png.webp,https://clios.com/winners-gallery/details/194810,/awards/clio_entertainment/2025/campaigns/verdansk-launch-trailer-call-of-duty-warzone-call-of-duty-warzone-gnet-2025-2/
2025,Clio Entertaiment,Mafia The Old Country - The Initiation Trailer,2K GAMES,Gold,United States,2K GAMES,Craft & Design,Audio Visual Craft,Sound Design,https://resized-media.entries.clios.com/companies/143785/media/f5355fbe-f43d-4d34-995c-08ddcf598d69-medium.png.webp,https://clios.com/winners-gallery/details/200879,/awards/clio_entertainment/2025/campaigns/mafia-the-old-country-the-initiation-trailer-2k-games-2k-games-2025/
2025,Clio Entertaiment,Gameplay Trailer - Meta AF,The Outer Worlds 2,Gold,United States,Buddha Jones,Craft & Design,Audio Visual Craft,Voiceover,https://resized-media.entries.clios.com/companies/143287/media/ce4090fa-2ef0-41aa-43c1-08dda8286ac6-medium.png.webp,https://clios.com/winners-gallery/details/195520,/awards/clio_entertainment/2025/campaigns/gameplay-trailer-meta-af-the-outer-worlds-2-buddha-jones-2025/
2025,Clio Entertaiment,Sid Meiers Civilization VII Narrator Reveal Trailer,2K GAMES,Gold,United States,2K GAMES,Craft & Design,Design,‌Other,https://resized-media.entries.clios.com/companies/143785/media/16171216-7dfb-4328-a40a-08ddca1e8d72-medium.png.webp,https://clios.com/winners-gallery/details/200488,/awards/clio_entertainment/2025/campaigns/sid-meiers-civilization-vii-narrator-reveal-trailer-2k-games-2k-games-2025/
2025,Clio Entertaiment,Project MEMORY CARD,PlayStation,Gold,Japan,SIX INC,Craft & Design,Design,Computer-Generated Imagery,https://resized-media.entries.clios.com/companies/250/media/120b1192-63ea-480e-9618-08ddcf598d69-medium.jpg.webp,https://clios.com/winners-gallery/details/199548,/awards/clio_entertainment/2025/campaigns/project-memory-card-playstation-six-inc-2025-2/
2025,Clio Entertaiment,Oreo Square Cookie,Mondeléz International,Grand Prix,Germany,Saatchi & Saatchi Germany,Experiential & Fan Engagement,Fan Engagement,Partnerships,https://resized-media.entries.clios.com/companies/364/media/f72b76d4-c464-4e54-ff93-08ddda84979b-medium.jpg.webp,https://clios.com/winners-gallery/details/203674,/awards/clio_entertainment/2025/campaigns/oreo-square-cookie-mondelez-international-saatchi-and-saatchi-germany-2025-2/
2025,Clio Entertaiment,The Conversation - Deluxe Boxset,Lionsgate,Grand Prix,United States,Lionsgate,Craft & Design,Design,Design Package,https://resized-media.entries.clios.com/companies/143797/media/f104da69-d049-4b07-a4ad-08ddcf598d69-thumbnail.0000000.jpg,https://clios.com/winners-gallery/details/202572,/awards/clio_entertainment/2025/campaigns/the-conversation-deluxe-boxset-lionsgate-lionsgate-2025/
2025,Clio Entertaiment,Beetlejuice Beetlejuice Home Home Home,Beetlejuice Beetlejuice,Grand Prix,United States,OC Agency,Digital Mobile & Social Media,Social Media,Short-Form Social Media Video,https://resized-media.entries.clios.com/companies/4765/media/6fa0f92d-26b4-4647-4055-08dda8286ac6-thumbnail.0000000.jpg,https://clios.com/winners-gallery/details/194024,/awards/clio_entertainment/2025/campaigns/beetlejuice-beetlejuice-home-home-home-beetlejuice-beetlejuice-oc-agency-2025/
2025,Clio Entertaiment,Oreo Empire,Oreo,Grand Prix,United States,Dentsu Creative Chicago,Experiential & Fan Engagement,Fan Engagement,Social Media,https://resized-media.entries.clios.com/companies/4470/media/eb64cc87-0106-47f0-85f9-08dda8280727-medium.png.webp,https://clios.com/winners-gallery/details/196580,/awards/clio_entertainment/2025/campaigns/oreo-empire-oreo-dentsu-creative-chicago-2025/
2025,Clio Entertaiment,Dance with Bluey,BBC Studios,Grand Prix,United Kingdom,BBC Studios Creative,Partnerships & Collaborations,Partnerships & Collaborations,,https://resized-media.entries.clios.com/companies/2598/media/ab9033bb-9e8c-470e-170d-08dd198162f4-medium.png.webp,https://clios.com/winners-gallery/details/200296,/awards/clio_entertainment/2025/campaigns/dance-with-bluey-bbc-studios-bbc-studios-creative-2025/
2025,Clio Entertaiment,You Are What You Watch,Love & Anarchy - Helsinki International Film Festival,Grand Prix,Finland,Breakfast Helsinki,Branded Entertainment & Content,Film,,https://resized-media.entries.clios.com/companies/140523/media/dd3b3768-2965-48b5-a008-08ddbc6e7e05-medium.png.webp,https://clios.com/winners-gallery/details/197150,/awards/clio_entertainment/2025/campaigns/you-are-what-you-watch-love-and-anarchy-helsinki-international-film-festival-breakfast-helsinki-2025/
